DZY, Rakan, Guardian, Redemption, Remnant of the Watchers, Knight's Vow, Control Ward, Kindlegem, Boots of Mobility
DZY, Zyra, Aftershock, Broken Stopwatch, Remnant of the Watchers, Seeker's Armguard, Control Ward, Fiendish Codex, Boots of Mobility
DZY, Zyra, Aftershock, Liandry's Torment, Remnant of the Watchers, Cloth Armor, Control Ward, Boots of Mobility, 
DZY, Leona, Aftershock, Zeke's Convergence, Remnant of the Aspect, Knight's Vow, Control Ward, Boots of Mobility, 
DZY, Zyra, Aftershock, Haunting Guise, Remnant of the Watchers, Blasting Wand, Control Ward, Boots of Mobility, 
DZY, Braum, Guardian, Knight's Vow, Remnant of the Aspect, Cloth Armor, Control Ward, Boots of Mobility, 
DZY, Blitzcrank, Aftershock, Zeke's Convergence, Remnant of the Aspect, Knight's Vow, Control Ward, Crystalline Bracer, Boots of Mobility
DZY, Zyra, Aftershock, Liandry's Torment, Remnant of the Watchers, Morellonomicon, Control Ward, Amplifying Tome, Boots of Mobility
DZY, Rakan, Guardian, Zeke's Convergence, Remnant of the Watchers, Ruby Crystal, Control Ward, Boots of Mobility, 
DZY, Leona, Aftershock, Zeke's Convergence, Remnant of the Aspect, Kindlegem, Cloth Armor, Boots of Mobility, 
OveRate, Kha'Zix, Electrocute, Boots of Mobility, Enchantment: Warrior, Refillable Potion, Long Sword, , 
OveRate, Volibear, Aftershock, Mercury's Treads, Enchantment: Cinderhulk, Refillable Potion, Chain Vest, Ruby Crystal, 
OveRate, Skarner, Predator, Enchantment: Cinderhulk, Righteous Glory, Mercury's Treads, Adaptive Helm, Dead Man's Plate, Giant's Belt
OveRate, Kindred, Lethal Tempo, Berserker's Greaves, Enchantment: Bloodrazor, Blade of the Ruined King, Guardian Angel, Wit's End, The Black Cleaver
OveRate, Yuumi, Summon Aery, Athene's Unholy Grail, Redemption, Frostfang, Control Ward, Ardent Censer, Aether Wisp
OveRate, Ezreal, Kleptomancy, Ionian Boots of Lucidity, Trinity Force, Manamune, Doran's Blade, , 
OveRate, Sylas, Conqueror, Sorcerer's Shoes, Zhonya's Hourglass, Hextech Protobelt-01, Chain Vest, Morellonomicon, Enchantment: Runic Echoes
Vwish, Zed, Electrocute, Serrated Dirk, Youmuu's Ghostblade, Duskblade of Draktharr, Ninja Tabi, The Black Cleaver, Lord Dominik's Regards
Vwish, Ahri, Electrocute, Doran's Ring, Hextech Protobelt-01, Rabadon's Deathcap, Sorcerer's Shoes, Luden's Echo, 
Vwish, Sylas, Electrocute, Doran's Ring, Hextech Protobelt-01, Luden's Echo, Needlessly Large Rod, Boots of Speed, Amplifying Tome
Vwish, Karma, Summon Aery, Doran's Ring, Doran's Ring, Slightly Magical Boots, Luden's Echo, Ardent Censer, Mejai's Soulstealer
Vwish, Cassiopeia, Phase Rush, Seraph's Embrace, Refillable Potion, Doran's Ring, Liandry's Torment, Amplifying Tome, 
Vwish, Irelia, Conqueror, Chain Vest, Titanic Hydra, Mercury's Treads, Trinity Force, Sterak's Gage, Ruby Crystal
Vwish, Ryze, Phase Rush, Seraph's Embrace, Ruby Crystal, Needlessly Large Rod, Mercury's Treads, Morellonomicon, Aether Wisp
Vwish, Cassiopeia, Phase Rush, Seraph's Embrace, Rylai's Crystal Scepter, Doran's Ring, Liandry's Torment, , 
Vwish, Ekko, Electrocute, Rabadon's Deathcap, Hextech Protobelt-01, Lich Bane, Fiendish Codex, Sorcerer's Shoes, Mejai's Soulstealer
Vwish, Xayah, Lethal Tempo, Lord Dominik's Regards, Infinity Edge, Berserker's Greaves, Essence Reaver, Runaan's Hurricane, The Bloodthirster
10 23 02, Vladimir, Phase Rush, Fiendish Codex, Spellbinder, Broken Stopwatch, Rabadon's Deathcap, Ionian Boots of Lucidity, 
10 23 02, Caitlyn, Fleet Footwork, Rapid Firecannon, Runaan's Hurricane, Infinity Edge, Executioner's Calling, Berserker's Greaves, Essence Reaver
10 23 02, Ekko, Grasp of the Undying, Rabadon's Deathcap, Iceborn Gauntlet, Warden's Mail, Luden's Echo, Sorcerer's Shoes, Nashor's Tooth
10 23 02, Jhin, Fleet Footwork, Doran's Blade, Refillable Potion, Youmuu's Ghostblade, Boots of Swiftness, Long Sword, 
10 23 02, Katarina, Conqueror, Sorcerer's Shoes, Broken Stopwatch, Hextech Gunblade, Rabadon's Deathcap, Morellonomicon, 
10 23 02, Azir, Lethal Tempo, Luden's Echo, Spectre's Cowl, Nashor's Tooth, Poro-Snax, Void Staff, Berserker's Greaves, Null-Magic Mantle
10 23 02, Ahri, Glacial Augment, Fiendish Codex, Slightly Magical Boots, Hextech GLP-800, Poro-Snax, , 
10 23 02, Darius, Conqueror, Trinity Force, Mercury's Treads, Sterak's Gage, Spirit Visage, Warden's Mail, Ruby Crystal
10 23 02, Karma, Arcane Comet, Athene's Unholy Grail, Boots of Mobility, Frostfang, Liandry's Torment, Blasting Wand, Amplifying Tome
10 23 02, Kai'Sa, Lethal Tempo, Stormrazor, Berserker's Greaves, Guinsoo's Rageblade, Nashor's Tooth, , 
Mirth The Bard, Ziggs, Arcane Comet, Sorcerer's Shoes, Seraph's Embrace, Zhonya's Hourglass, Poro-Snax, Morellonomicon, Warmog's Armor
Mirth The Bard, Leona, Aftershock, Ninja Tabi, Guardian's Horn, Righteous Glory, Poro-Snax, , 
Mirth The Bard, Thresh, Aftershock, Mercury's Treads, Guardian's Horn, Locket of the Iron Solari, Poro-Snax, Abyssal Mask, Warmog's Armor
Mirth The Bard, Riven, Aftershock, Mercury's Treads, The Black Cleaver, Spear of Shojin, Poro-Snax, Warmog's Armor, 
Mirth The Bard, Thresh, Aftershock, Ninja Tabi, Guardian's Horn, Locket of the Iron Solari, Poro-Snax, Frozen Heart, 
sag ass, Gangplank, Grasp of the Undying, Trinity Force, Ninja Tabi, Jaurim's Fist, Corrupting Potion, Essence Reaver, 
sag ass, Corki, Kleptomancy, Trinity Force, Caulfield's Warhammer, Corrupting Potion, Hexdrinker, Sorcerer's Shoes, 
sag ass, Qiyana, Electrocute, Stopwatch, Stopwatch, Boots of Mobility, Stopwatch, Stopwatch, Stopwatch
sag ass, Sylas, Conqueror, Bilgewater Cutlass, Cull, Crystalline Bracer, Berserker's Greaves, Bami's Cinder, Relic Shield
sag ass, Sylas, Conqueror, Broken Stopwatch, Broken Stopwatch, Boots of Speed, Ruby Crystal, The Dark Seal, Doran's Blade
sag ass, Sylas, Conqueror, Boots of Mobility, Broken Stopwatch, Broken Stopwatch, Broken Stopwatch, , 
sag ass, Sylas, Conqueror, Corrupting Potion, Luden's Echo, The Dark Seal, Hextech Protobelt-01, Mercury's Treads, Seeker's Armguard
sag ass, Qiyana, Electrocute, Youmuu's Ghostblade, Duskblade of Draktharr, Serrated Dirk, Corrupting Potion, Ninja Tabi, Pickaxe
sag ass, Sylas, Conqueror, Broken Stopwatch, Broken Stopwatch, Broken Stopwatch, Broken Stopwatch, Broken Stopwatch, Boots of Mobility
sag ass, Sylas, Conqueror, Broken Stopwatch, Broken Stopwatch, Broken Stopwatch, Control Ward, Broken Stopwatch, Boots of Speed
stack tears, Ezreal, Kleptomancy, Doran's Blade, Total Biscuit of Everlasting Will, , , , 
stack tears, Ashe, Press the Attack, Doran's Blade, Essence Reaver, Berserker's Greaves, Stinger, Phage, Sapphire Crystal
stack tears, Ezreal, Kleptomancy, Vampiric Scepter, B. F. Sword, Muramana, Trinity Force, Luden's Echo, Ionian Boots of Lucidity
stack tears, Ezreal, Kleptomancy, Muramana, Hextech Revolver, Trinity Force, Doran's Blade, Long Sword, Ionian Boots of Lucidity
stack tears, Ezreal, Kleptomancy, Doran's Blade, Hextech Gunblade, Lost Chapter, Muramana, Iceborn Gauntlet, Ionian Boots of Lucidity
